index,unk0,too_tall,unk2_0,hover,unk3
TSURE_POKE_BULBASAUR,0,false,false,false,0
TSURE_POKE_IVYSAUR,0,false,false,false,0
TSURE_POKE_VENUSAUR,0,false,false,false,0
TSURE_POKE_VENUSAUR_F,0,false,false,false,0
TSURE_POKE_CHARMANDER,0,false,false,false,0
TSURE_POKE_CHARMELEON,0,false,false,false,0
TSURE_POKE_CHARIZARD,0,false,false,false,0
TSURE_POKE_SQUIRTLE,0,false,false,false,0
TSURE_POKE_WARTORTLE,0,false,false,false,0
TSURE_POKE_BLASTOISE,0,false,false,false,0
TSURE_POKE_CATERPIE,0,false,false,false,0
TSURE_POKE_METAPOD,0,false,false,false,0
TSURE_POKE_BUTTERFREE,0,false,true,true,0
TSURE_POKE_WEEDLE,0,false,false,false,0
TSURE_POKE_KAKUNA,0,false,false,false,0
TSURE_POKE_BEEDRILL,0,false,true,true,0
TSURE_POKE_PIDGEY,0,false,false,false,0
TSURE_POKE_PIDGEOTTO,0,false,true,true,0
TSURE_POKE_PIDGEOT,0,false,true,true,0
TSURE_POKE_RATTATA,0,false,false,false,0
TSURE_POKE_RATICATE,0,false,false,false,0
TSURE_POKE_SPEAROW,0,false,false,false,0
TSURE_POKE_FEAROW,0,false,true,true,0
TSURE_POKE_EKANS,0,false,false,false,0
TSURE_POKE_ARBOK,0,false,false,false,0
TSURE_POKE_PIKACHU,0,false,false,false,0
TSURE_POKE_PIKACHU_F,0,false,false,false,0
TSURE_POKE_RAICHU,0,false,false,false,0
TSURE_POKE_SANDSHREW,0,false,false,false,0
TSURE_POKE_SANDSLASH,0,false,false,false,0
TSURE_POKE_NIDORAN_F,0,false,false,false,0
TSURE_POKE_NIDORINA,0,false,false,false,0
TSURE_POKE_NIDOQUEEN,0,false,false,false,0
TSURE_POKE_NIDORAN_M,0,false,false,false,0
TSURE_POKE_NIDORINO,0,false,false,false,0
TSURE_POKE_NIDOKING,0,false,false,false,0
TSURE_POKE_CLEFAIRY,0,false,false,false,0
TSURE_POKE_CLEFABLE,0,false,false,false,0
TSURE_POKE_VULPIX,0,false,false,false,0
TSURE_POKE_NINETALES,0,false,false,false,0
TSURE_POKE_JIGGLYPUFF,0,false,false,false,0
TSURE_POKE_WIGGLYTUFF,0,false,false,false,0
TSURE_POKE_ZUBAT,0,false,true,true,0
TSURE_POKE_GOLBAT,0,false,true,true,0
TSURE_POKE_ODDISH,0,false,false,false,0
TSURE_POKE_GLOOM,0,false,false,false,0
TSURE_POKE_VILEPLUME,0,false,false,false,0
TSURE_POKE_PARAS,0,false,false,false,0
TSURE_POKE_PARASECT,0,false,false,false,0
TSURE_POKE_VENONAT,0,false,false,false,0
TSURE_POKE_VENOMOTH,0,false,true,true,0
TSURE_POKE_DIGLETT,0,false,false,true,0
TSURE_POKE_DUGTRIO,0,false,false,true,0
TSURE_POKE_MEOWTH,0,false,false,false,0
TSURE_POKE_PERSIAN,0,false,false,false,0
